Date,Year,Time,Day_of_Week,Barangay,Latitude,Longitude,Weather,Crime_Type,Crime_Cause,Severity,Arrests,Response_Time,Incident_Duration
16/05/2020,2020,7:56,Monday,IV-C,14.047906,121.319627,Sunny,Assault,Gang Activity,Medium,0,17,33
14/03/2025,2025,18:23,Thursday,San Lorenzo (Saluyan),14.027859,121.367882,Rainy,Domestic Violence,Drugs,Low,2,22,120
03/06/2020,2020,6:56,Sunday,I-C (Bagong Bayan),14.092088,121.298089,Foggy,Theft,Gang Activity,Medium,2,28,99
15/05/2023,2023,12:43,Monday,III-B,14.029639,121.360742,Stormy,Drug-Related,Alcohol,High,0,29,35
20/09/2021,2021,1:05,Friday,San Lorenzo (Saluyan),14.041973,121.334892,Sunny,Drug-Related,Gang Activity,Medium,3,21,11
15/06/2021,2021,18:32,Wednesday,III-E,14.01245,121.328508,Foggy,Assault,Alcohol,High,2,19,106
10/12/2023,2023,3:19,Tuesday,San Lorenzo (Saluyan),14.019267,121.335971,Foggy,Fraud,Drugs,High,0,10,90
25/01/2021,2021,13:58,Tuesday,VII-B,14.032225,121.30126,Sunny,Burglary,Mental Health,Medium,2,24,50
07/03/2022,2022,21:22,Tuesday,I-C (Bagong Bayan),14.064859,121.369787,Foggy,Theft,Drugs,Medium,2,29,98
15/12/2024,2024,23:34,Friday,San Lucas 1 (Malinaw),14.031731,121.350175,Stormy,Drug-Related,Alcohol,High,3,16,12
01/04/2024,2024,8:43,Tuesday,Concepcion (Bunot),14.016422,121.292362,Stormy,Vandalism,Gang Activity,High,3,27,77
16/01/2023,2023,23:38,Sunday,San Rafael (Buluburan),14.0389,121.317534,Cloudy,Vandalism,Gang Activity,Low,3,8,85
02/07/2025,2025,14:25,Friday,Concepcion (Bunot),14.030263,121.328517,Cloudy,Harassment,Poverty,Low,0,6,104
04/07/2023,2023,20:08,Tuesday,III-C (Labak/De Roma),14.096504,121.319744,Stormy,Harassment,Other,Medium,3,12,111
28/03/2023,2023,0:17,Wednesday,I-C (Bagong Bayan),14.093966,121.30303,Rainy,Assault,Gang Activity,High,2,16,73
03/07/2021,2021,21:49,Friday,San Lucas 2 (Malinaw),14.102048,121.271012,Rainy,Domestic Violence,Poverty,Low,2,8,103
04/07/2024,2024,16:42,Thursday,I-C (Bagong Bayan),14.010164,121.353392,Sunny,Other,Domestic Issue,Low,0,12,24
26/09/2025,2025,22:11,Sunday,Santo Niño (Arsum),14.055937,121.361853,Sunny,Drug-Related,Personal Dispute,High,1,22,46
08/03/2024,2024,20:26,Tuesday,II-A (Triangulo/ Guadalupe 2),14.053411,121.309986,Stormy,Vandalism,Alcohol,High,0,23,87
21/07/2023,2023,5:39,Saturday,San Buenaventura (Palakpakin),14.012729,121.281503,Foggy,Burglary,Gang Activity,Low,3,21,119
13/09/2022,2022,12:06,Sunday,San Jose (Malamig),14.080917,121.339813,Cloudy,Other,Unemployment,Medium,3,13,111
06/10/2024,2024,22:01,Monday,San Crispin (Lumbangan),14.087879,121.297651,Cloudy,Vandalism,Opportunistic,Low,1,14,119
16/02/2024,2024,20:03,Saturday,III-C (Labak/De Roma),14.03396,121.271164,Rainy,Theft,Drugs,Medium,2,23,32
10/10/2025,2025,15:30,Saturday,VII-D,14.079058,121.320748,Sunny,Other,Drugs,Low,3,20,110
10/08/2021,2021,2:42,Friday,II-E (San Anton),14.054495,121.293832,Rainy,Burglary,Domestic Issue,Medium,3,21,48
23/03/2021,2021,12:39,Thursday,Atisan,14.079072,121.316147,Sunny,Fraud,Alcohol,Low,3,16,57
01/10/2023,2023,12:38,Saturday,VII-B,14.098549,121.272538,Stormy,Domestic Violence,Poverty,Low,0,12,34
09/03/2022,2022,5:37,Tuesday,Santa Elena,14.056501,121.319519,Rainy,Domestic Violence,Personal Dispute,Medium,1,22,96
24/10/2021,2021,23:13,Sunday,Santa Isabel,14.060598,121.350692,Foggy,Other,Unemployment,High,1,21,29
15/12/2025,2025,20:28,Tuesday,San Gabriel (Butucan),14.035284,121.357527,Foggy,Harassment,Personal Dispute,Medium,1,10,84
03/04/2020,2020,3:41,Friday,II-C (Unson),14.073335,121.361055,Foggy,Robbery,Personal Dispute,Medium,3,10,14
23/09/2023,2023,3:08,Thursday,San Bartolome (Matang-ag),14.069713,121.310188,Rainy,Robbery,Poverty,High,1,12,41
21/01/2024,2024,17:32,Tuesday,Santisimo Rosario (Balagbag),14.086701,121.311113,Stormy,Fraud,Opportunistic,Medium,0,19,16
17/07/2024,2024,3:34,Sunday,I-B (City Sub Riverside),14.019059,121.303282,Cloudy,Theft,Drugs,Medium,0,30,70
14/07/2025,2025,8:28,Monday,Santa Maria,14.026435,121.276392,Cloudy,Theft,Gang Activity,Medium,1,18,10
19/08/2020,2020,4:24,Saturday,San Francisco (Calihan),14.094941,121.281075,Cloudy,Harassment,Gang Activity,Low,0,7,30
18/07/2024,2024,5:47,Friday,San Buenaventura (Palakpakin),14.064687,121.294408,Rainy,Assault,Unemployment,Low,0,18,111
12/04/2022,2022,9:44,Monday,VI-D (Lakeside),14.010042,121.340064,Foggy,Burglary,Gang Activity,Medium,2,18,90
16/09/2025,2025,15:41,Tuesday,V-B,14.011032,121.312375,Rainy,Harassment,Alcohol,Medium,1,21,47
23/10/2023,2023,7:33,Sunday,Santiago II (Bulaho),14.042633,121.299717,Sunny,Drug-Related,Personal Dispute,Low,2,18,39
09/05/2020,2020,13:16,Tuesday,Santiago I (Bulaho),14.014459,121.324142,Rainy,Theft,Personal Dispute,Medium,3,14,61
04/12/2020,2020,10:51,Sunday,San Roque (Sambat),14.035213,121.307695,Foggy,Domestic Violence,Poverty,Medium,0,16,100
08/07/2025,2025,3:18,Wednesday,San Antonio 1 (Balanga),14.057994,121.287542,Rainy,Burglary,Other,Low,0,21,53
11/01/2024,2024,14:37,Saturday,Santa Catalina (Sandig),14.080119,121.33075,Stormy,Domestic Violence,Other,Medium,1,24,107
11/05/2023,2023,9:01,Saturday,VII-B,14.105219,121.367155,Cloudy,Harassment,Alcohol,Medium,2,17,23
01/08/2024,2024,21:34,Monday,San Cristobal,14.090301,121.344534,Stormy,Fraud,Other,Low,0,5,15
22/06/2023,2023,3:18,Sunday,IV-C,14.02051,121.365977,Cloudy,Vandalism,Mental Health,Medium,0,19,101
10/05/2023,2023,23:05,Tuesday,San Lucas 1 (Malinaw),14.037255,121.342668,Sunny,Harassment,Personal Dispute,Medium,0,27,54
30/09/2020,2020,10:24,Wednesday,Atisan,14.028329,121.297646,Rainy,Domestic Violence,Gang Activity,Medium,0,8,97
22/05/2021,2021,4:08,Friday,San Miguel (Balatuin),14.057128,121.340931,Rainy,Robbery,Poverty,Low,0,18,57
30/04/2023,2023,22:35,Saturday,Santa Monica,14.106966,121.33671,Stormy,Robbery,Poverty,Low,1,21,39
06/07/2023,2023,15:25,Tuesday,San Marcos (Tikew),14.053079,121.331898,Sunny,Vandalism,Domestic Issue,Medium,3,30,111
20/02/2021,2021,14:30,Sunday,III-A (Hermanos Belen),14.053962,121.307102,Foggy,Fraud,Other,High,3,11,113
01/12/2020,2020,6:18,Friday,Del Remedio (Wawa),14.073912,121.28231,Rainy,Robbery,Unemployment,Low,0,11,65
08/11/2022,2022,21:07,Wednesday,VI-E (YMCA),14.102428,121.327085,Cloudy,Other,Poverty,Low,3,13,59
28/07/2025,2025,22:59,Monday,Santiago I (Bulaho),14.010165,121.317845,Cloudy,Harassment,Mental Health,Medium,1,25,52
18/11/2025,2025,9:13,Thursday,San Jose (Malamig),14.046372,121.27757,Cloudy,Assault,Other,High,1,5,27
14/11/2020,2020,1:25,Wednesday,Del Remedio (Wawa),14.020204,121.316558,Sunny,Harassment,Personal Dispute,High,3,22,107
19/10/2021,2021,23:16,Tuesday,Santa Maria Magdalena (Boe / Kuba),14.058451,121.280971,Foggy,Drug-Related,Alcohol,Low,0,16,72
24/09/2022,2022,12:41,Tuesday,San Lorenzo (Saluyan),14.036104,121.351163,Sunny,Theft,Opportunistic,Low,1,13,113
05/08/2022,2022,9:39,Monday,San Juan (Putol),14.089898,121.329971,Cloudy,Harassment,Personal Dispute,Low,2,23,66
30/08/2020,2020,7:33,Tuesday,III-A (Hermanos Belen),14.039373,121.345753,Cloudy,Drug-Related,Gang Activity,High,0,24,58
14/12/2022,2022,14:58,Tuesday,VI-E (YMCA),14.071144,121.311849,Cloudy,Fraud,Other,Medium,2,30,120
11/11/2024,2024,22:48,Sunday,San Gregorio,14.102554,121.297355,Cloudy,Vandalism,Domestic Issue,Medium,3,21,110
03/03/2024,2024,8:14,Friday,Santa Maria,14.083243,121.277622,Foggy,Other,Personal Dispute,Medium,0,11,84
24/09/2022,2022,12:52,Saturday,I-A (Sambat),14.068439,121.362939,Rainy,Drug-Related,Drugs,High,2,24,76
26/12/2020,2020,13:51,Wednesday,VII-A (P.Alcantara),14.109374,121.307341,Stormy,Burglary,Alcohol,High,1,29,102
01/09/2023,2023,1:44,Monday,III-C (Labak/De Roma),14.05747,121.321957,Foggy,Robbery,Unemployment,Medium,0,25,19
26/11/2020,2020,20:18,Wednesday,V-D,14.03011,121.320699,Stormy,Assault,Drugs,Medium,3,7,99
03/03/2025,2025,6:26,Friday,II-F (Villa Rey),14.018421,121.274406,Rainy,Harassment,Opportunistic,Low,2,28,107
02/05/2024,2024,15:24,Sunday,Santa Maria Magdalena (Boe / Kuba),14.075655,121.340299,Stormy,Drug-Related,Alcohol,Low,0,17,65
08/11/2020,2020,13:35,Friday,Santiago I (Bulaho),14.109452,121.278242,Sunny,Other,Mental Health,Low,1,27,89
14/07/2021,2021,1:08,Saturday,II-D (Bulante),14.058656,121.288798,Stormy,Assault,Drugs,Low,2,27,85
22/01/2021,2021,12:08,Tuesday,Del Remedio (Wawa),14.108602,121.349915,Cloudy,Vandalism,Drugs,High,1,22,93
26/02/2023,2023,8:07,Saturday,San Bartolome (Matang-ag),14.012712,121.34321,Sunny,Robbery,Personal Dispute,Medium,3,21,110
31/07/2022,2022,9:37,Monday,San Diego (Tiim),14.105116,121.332251,Cloudy,Robbery,Personal Dispute,Low,2,10,31
11/09/2025,2025,16:35,Monday,II-A (Triangulo/ Guadalupe 2),14.01256,121.298816,Sunny,Fraud,Poverty,High,1,28,92
22/08/2025,2025,23:06,Monday,Santa Maria Magdalena (Boe / Kuba),14.030696,121.350772,Foggy,Burglary,Opportunistic,Low,3,27,100
02/12/2023,2023,7:14,Tuesday,San Gregorio,14.047362,121.320257,Foggy,Other,Gang Activity,High,2,15,89
26/04/2024,2024,9:04,Wednesday,IV-C,14.074495,121.335249,Rainy,Domestic Violence,Drugs,High,0,9,64
21/12/2025,2025,2:28,Friday,VI-A (Mavenida),14.086991,121.308977,Stormy,Vandalism,Unemployment,Low,2,26,22
18/09/2020,2020,20:18,Tuesday,VI-D (Lakeside),14.077933,121.336598,Rainy,Burglary,Other,High,0,27,29
05/06/2025,2025,20:19,Sunday,III-C (Labak/De Roma),14.093262,121.360641,Foggy,Domestic Violence,Poverty,Medium,0,8,23
28/01/2020,2020,15:00,Wednesday,Santo Cristo,14.04948,121.367025,Cloudy,Burglary,Drugs,High,0,14,66
21/03/2020,2020,8:29,Thursday,V-D,14.067931,121.368122,Stormy,Assault,Other,Medium,3,21,62
23/09/2025,2025,2:03,Sunday,III-D (Villongco),14.107513,121.356724,Sunny,Theft,Other,Low,2,24,62
01/01/2021,2021,5:40,Friday,III-E,14.02861,121.303508,Sunny,Domestic Violence,Alcohol,Low,0,29,38
13/06/2024,2024,12:29,Monday,Dolores,14.105076,121.325459,Cloudy,Vandalism,Poverty,Medium,0,10,49
14/03/2022,2022,22:16,Sunday,I-A (Sambat),14.045003,121.363465,Stormy,Harassment,Drugs,High,0,5,59
07/10/2025,2025,8:41,Sunday,IV-C,14.017271,121.333822,Cloudy,Harassment,Poverty,High,1,5,18
31/01/2021,2021,18:43,Thursday,VI-A (Mavenida),14.023054,121.362507,Cloudy,Domestic Violence,Unemployment,High,2,30,85
19/01/2022,2022,16:43,Wednesday,VII-D,14.078578,121.28975,Rainy,Assault,Drugs,High,2,12,45
30/07/2022,2022,2:06,Tuesday,Santa Ana,14.089796,121.271736,Stormy,Domestic Violence,Other,Low,3,16,63
23/05/2020,2020,10:00,Friday,Concepcion (Bunot),14.105805,121.287924,Cloudy,Drug-Related,Unemployment,High,1,29,107
19/07/2021,2021,16:59,Friday,San Miguel (Balatuin),14.060685,121.278795,Rainy,Robbery,Mental Health,High,3,10,77
25/09/2024,2024,19:42,Monday,Concepcion (Bunot),14.089322,121.321745,Cloudy,Vandalism,Mental Health,Low,2,10,44
07/05/2021,2021,7:29,Tuesday,III-C (Labak/De Roma),14.016519,121.367331,Foggy,Robbery,Domestic Issue,High,2,12,46
14/04/2020,2020,12:38,Wednesday,V-B,14.062796,121.307252,Cloudy,Vandalism,Domestic Issue,Medium,1,26,106
12/04/2024,2024,15:31,Thursday,I-C (Bagong Bayan),14.038753,121.280901,Stormy,Assault,Other,Medium,1,22,40
27/08/2025,2025,23:35,Saturday,VI-C (Bagong Pook),14.065429,121.354928,Rainy,Other,Poverty,Low,1,25,89
05/04/2022,2022,10:54,Wednesday,V-B,14.054063,121.313602,Cloudy,Burglary,Personal Dispute,High,0,16,24
30/07/2024,2024,20:07,Monday,Bautista,14.061937,121.321967,Sunny,Vandalism,Personal Dispute,Low,1,7,102
14/09/2023,2023,16:54,Sunday,III-C (Labak/De Roma),14.10493,121.306319,Sunny,Fraud,Domestic Issue,High,3,17,114
29/07/2022,2022,11:26,Thursday,I-B (City Sub Riverside),14.020006,121.354594,Rainy,Burglary,Opportunistic,Low,1,13,111
06/04/2022,2022,16:03,Monday,San Lucas 2 (Malinaw),14.035172,121.336248,Stormy,Vandalism,Gang Activity,Medium,0,28,58
10/08/2022,2022,6:45,Wednesday,VI-A (Mavenida),14.056374,121.287369,Rainy,Fraud,Gang Activity,High,2,21,27
25/08/2020,2020,21:33,Thursday,San Gregorio,14.099436,121.36996,Foggy,Drug-Related,Domestic Issue,Medium,0,14,96
08/09/2020,2020,18:51,Friday,VII-A (P.Alcantara),14.086198,121.331497,Cloudy,Theft,Unemployment,Low,3,6,79
26/05/2022,2022,2:54,Tuesday,San Mateo (Imok),14.089024,121.330576,Foggy,Harassment,Unemployment,Medium,2,7,54
02/06/2024,2024,4:12,Sunday,VII-C,14.041775,121.295449,Stormy,Other,Mental Health,Medium,1,22,96
30/08/2025,2025,2:15,Wednesday,Santisimo Rosario (Balagbag),14.032059,121.334508,Cloudy,Other,Poverty,Low,3,28,29
01/06/2021,2021,1:16,Sunday,II-D (Bulante),14.035111,121.35191,Sunny,Harassment,Poverty,Low,0,18,82
08/03/2022,2022,16:45,Friday,Santa Isabel,14.067934,121.317792,Rainy,Drug-Related,Gang Activity,Medium,3,20,114
26/06/2024,2024,12:47,Tuesday,San Diego (Tiim),14.063155,121.316778,Rainy,Theft,Domestic Issue,Low,2,13,44
15/05/2021,2021,8:44,Saturday,Santiago II (Bulaho),14.064918,121.278542,Foggy,Vandalism,Mental Health,High,2,22,65
19/06/2023,2023,22:56,Tuesday,Del Remedio (Wawa),14.040676,121.303031,Rainy,Harassment,Other,High,1,14,12
28/09/2023,2023,6:38,Monday,Santa Filomena (Banlagin),14.047045,121.341033,Stormy,Other,Unemployment,Low,0,28,44
22/07/2024,2024,15:54,Sunday,Santa Monica,14.052705,121.353692,Rainy,Robbery,Domestic Issue,High,2,7,93
10/02/2023,2023,1:36,Saturday,San Pedro,14.087538,121.300649,Rainy,Other,Domestic Issue,High,2,26,99
28/03/2022,2022,12:53,Thursday,I-B (City Sub Riverside),14.061118,121.293301,Sunny,Harassment,Domestic Issue,Medium,3,25,58
30/07/2024,2024,2:14,Friday,VI-B (Sabang Mabini),14.053287,121.347096,Cloudy,Harassment,Personal Dispute,Low,0,23,42
28/04/2023,2023,11:20,Tuesday,III-B,14.074845,121.322457,Sunny,Robbery,Other,Medium,0,17,71
12/05/2023,2023,15:50,Monday,Santa Monica,14.038536,121.326146,Rainy,Other,Other,Medium,0,18,96
12/01/2022,2022,6:19,Sunday,I-C (Bagong Bayan),14.054988,121.340206,Cloudy,Domestic Violence,Domestic Issue,Low,0,28,104
01/08/2021,2021,16:06,Thursday,II-D (Bulante),14.043312,121.286555,Cloudy,Vandalism,Gang Activity,Low,1,19,13
25/01/2020,2020,1:00,Wednesday,Soledad (Macopa),14.062072,121.301002,Foggy,Domestic Violence,Alcohol,Medium,2,21,116
26/06/2020,2020,19:20,Wednesday,San Diego (Tiim),14.065454,121.306886,Cloudy,Drug-Related,Personal Dispute,High,0,14,82
09/11/2024,2024,10:39,Monday,II-B (Guadalupe 1),14.056207,121.346177,Cloudy,Robbery,Unemployment,Medium,2,27,28
22/12/2023,2023,15:13,Monday,VI-E (YMCA),14.04966,121.31074,Foggy,Domestic Violence,Mental Health,Low,2,28,85
24/07/2025,2025,17:32,Wednesday,II-E (San Anton),14.020472,121.299047,Rainy,Drug-Related,Mental Health,Medium,2,24,24
14/08/2023,2023,17:59,Wednesday,Santa Veronica (Bae),14.049496,121.299314,Sunny,Vandalism,Alcohol,Medium,0,26,108
26/10/2021,2021,14:45,Sunday,San Isidro (Balagbag),14.022457,121.311406,Sunny,Harassment,Personal Dispute,Medium,1,19,119
13/04/2024,2024,4:39,Wednesday,V-C,14.053625,121.280535,Cloudy,Harassment,Poverty,High,1,11,73
01/07/2021,2021,3:57,Saturday,III-E,14.076689,121.351438,Stormy,Domestic Violence,Other,Low,0,22,40
03/02/2023,2023,0:58,Wednesday,II-E (San Anton),14.022365,121.327634,Sunny,Fraud,Opportunistic,Medium,1,8,94
08/03/2021,2021,1:49,Saturday,San Nicolas (Mag-ampon),14.085287,121.337281,Sunny,Domestic Violence,Unemployment,High,0,20,90
01/04/2022,2022,9:07,Sunday,V-D,14.014716,121.279135,Stormy,Burglary,Alcohol,High,0,21,26
10/09/2020,2020,11:21,Saturday,San Diego (Tiim),14.044822,121.316606,Foggy,Theft,Personal Dispute,Medium,3,9,51
04/03/2020,2020,14:49,Sunday,Santiago I (Bulaho),14.062583,121.355927,Sunny,Vandalism,Mental Health,High,3,15,116
28/04/2022,2022,15:49,Tuesday,Santiago I (Bulaho),14.088343,121.352354,Cloudy,Domestic Violence,Mental Health,Medium,1,6,42
24/06/2023,2023,10:26,Thursday,V-B,14.05886,121.345064,Foggy,Assault,Poverty,Medium,0,13,61
09/06/2023,2023,21:07,Monday,III-E,14.038511,121.315775,Stormy,Harassment,Gang Activity,Medium,2,20,99
04/08/2022,2022,21:09,Tuesday,San Roque (Sambat),14.040617,121.336573,Sunny,Other,Poverty,Low,1,23,51
16/08/2023,2023,9:23,Tuesday,Santiago II (Bulaho),14.05438,121.316871,Cloudy,Burglary,Gang Activity,Medium,2,15,97
11/11/2023,2023,1:19,Monday,V-C,14.037028,121.325246,Cloudy,Assault,Alcohol,Low,3,21,22
13/06/2020,2020,1:49,Sunday,III-C (Labak/De Roma),14.013245,121.349455,Sunny,Assault,Personal Dispute,High,1,21,77
16/06/2025,2025,5:07,Wednesday,Concepcion (Bunot),14.044233,121.367051,Cloudy,Domestic Violence,Gang Activity,Medium,3,20,76
20/10/2022,2022,11:41,Thursday,San Antonio 1 (Balanga),14.085993,121.34221,Sunny,Other,Poverty,High,2,21,37
24/07/2022,2022,6:02,Friday,Del Remedio (Wawa),14.086955,121.359106,Cloudy,Theft,Opportunistic,High,1,13,87
18/11/2023,2023,21:31,Thursday,Dolores,14.033658,121.32842,Cloudy,Drug-Related,Domestic Issue,Low,2,7,112
28/07/2024,2024,21:51,Wednesday,Santa Filomena (Banlagin),14.078803,121.318399,Cloudy,Harassment,Gang Activity,Low,0,22,114
10/10/2021,2021,23:18,Thursday,III-A (Hermanos Belen),14.090129,121.322036,Foggy,Drug-Related,Unemployment,Medium,0,6,55
25/11/2024,2024,16:56,Monday,I-C (Bagong Bayan),14.020122,121.364932,Foggy,Domestic Violence,Personal Dispute,High,3,11,17
25/02/2021,2021,5:23,Friday,Santa Catalina (Sandig),14.063068,121.353473,Stormy,Robbery,Poverty,Medium,0,23,14
01/09/2024,2024,12:55,Tuesday,San Diego (Tiim),14.083541,121.328721,Stormy,Other,Opportunistic,Medium,1,29,59
18/01/2023,2023,6:29,Saturday,III-D (Villongco),14.060706,121.325654,Rainy,Fraud,Alcohol,Medium,3,19,70
07/09/2024,2024,17:23,Sunday,Santa Isabel,14.090092,121.325329,Sunny,Vandalism,Domestic Issue,High,2,19,25
07/08/2025,2025,3:32,Tuesday,San Lorenzo (Saluyan),14.011734,121.287487,Rainy,Theft,Drugs,Medium,0,17,39
24/12/2025,2025,9:58,Sunday,Soledad (Macopa),14.089809,121.353522,Stormy,Harassment,Drugs,High,0,23,48
11/06/2020,2020,11:43,Friday,San Joaquin,14.103197,121.320763,Rainy,Vandalism,Drugs,Medium,3,21,58
11/04/2024,2024,17:56,Wednesday,San Juan (Putol),14.02988,121.298815,Stormy,Fraud,Domestic Issue,High,3,27,83
08/09/2021,2021,4:18,Monday,Del Remedio (Wawa),14.054391,121.358101,Rainy,Vandalism,Unemployment,Low,1,22,92
22/01/2024,2024,1:45,Tuesday,II-F (Villa Rey),14.076711,121.287203,Cloudy,Burglary,Opportunistic,Medium,2,5,53
30/03/2022,2022,17:19,Thursday,Soledad (Macopa),14.102279,121.358766,Rainy,Domestic Violence,Unemployment,High,2,23,76
26/04/2023,2023,1:17,Sunday,Dolores,14.049591,121.280851,Foggy,Assault,Other,High,1,17,10
24/02/2024,2024,15:06,Wednesday,Santa Veronica (Bae),14.074129,121.320838,Cloudy,Other,Mental Health,High,2,12,96
19/12/2023,2023,14:30,Sunday,V-D,14.1015,121.359936,Foggy,Robbery,Domestic Issue,Medium,3,7,84
06/10/2025,2025,20:12,Thursday,San Gregorio,14.060134,121.325659,Sunny,Other,Domestic Issue,High,2,15,70
04/02/2021,2021,0:10,Sunday,III-C (Labak/De Roma),14.010587,121.336397,Foggy,Burglary,Gang Activity,Low,2,19,48
14/02/2025,2025,5:58,Saturday,Atisan,14.042546,121.337256,Cloudy,Drug-Related,Gang Activity,Low,1,26,48
05/06/2021,2021,4:15,Saturday,IV-A,14.07985,121.302877,Stormy,Fraud,Unemployment,Medium,2,14,108
25/01/2025,2025,23:58,Thursday,III-F (Balagtas),14.077995,121.287062,Sunny,Drug-Related,Unemployment,Low,3,26,54
02/04/2023,2023,6:57,Sunday,I-A (Sambat),14.018574,121.331511,Rainy,Fraud,Mental Health,Low,3,8,85
02/05/2023,2023,5:13,Friday,III-C (Labak/De Roma),14.043718,121.330449,Stormy,Fraud,Poverty,Medium,0,11,43
03/08/2023,2023,5:59,Tuesday,San Gabriel (Butucan),14.095044,121.30198,Stormy,Robbery,Personal Dispute,Medium,0,11,44
23/12/2024,2024,7:43,Wednesday,VII-A (P.Alcantara),14.069402,121.285295,Foggy,Robbery,Alcohol,Medium,0,7,44
01/09/2023,2023,21:47,Thursday,V-C,14.103902,121.299674,Sunny,Theft,Domestic Issue,Low,1,18,10
11/03/2023,2023,15:17,Saturday,San Antonio 1 (Balanga),14.056541,121.320848,Sunny,Domestic Violence,Drugs,Medium,0,28,105
24/06/2022,2022,17:26,Saturday,Dolores,14.015601,121.28855,Sunny,Assault,Domestic Issue,Low,0,28,56
22/01/2020,2020,15:04,Tuesday,Santa Isabel,14.073561,121.335148,Rainy,Burglary,Unemployment,Low,1,6,59
27/05/2022,2022,14:43,Thursday,Del Remedio (Wawa),14.047852,121.335083,Cloudy,Harassment,Drugs,Low,2,8,105
27/06/2024,2024,14:06,Sunday,San Gregorio,14.010657,121.365192,Rainy,Domestic Violence,Mental Health,High,0,7,64
02/09/2021,2021,16:08,Tuesday,III-D (Villongco),14.065499,121.282947,Foggy,Other,Other,Low,1,27,49
31/12/2025,2025,4:39,Tuesday,San Antonio 2 (Sapa),14.051576,121.283166,Rainy,Vandalism,Other,Medium,0,11,11
24/02/2025,2025,22:27,Thursday,San Antonio 2 (Sapa),14.071043,121.329986,Sunny,Harassment,Other,Low,1,28,109
05/01/2025,2025,22:17,Monday,Santa Ana,14.020347,121.288816,Foggy,Fraud,Personal Dispute,High,0,20,42
03/01/2024,2024,2:55,Thursday,Santo Niño (Arsum),14.036114,121.351542,Cloudy,Domestic Violence,Other,Medium,0,27,88
23/10/2021,2021,10:55,Thursday,VI-D (Lakeside),14.092536,121.329588,Stormy,Drug-Related,Domestic Issue,High,1,10,53
12/01/2023,2023,15:25,Sunday,San Buenaventura (Palakpakin),14.095169,121.287673,Foggy,Robbery,Opportunistic,High,0,21,27
20/08/2023,2023,12:46,Saturday,San Lucas 2 (Malinaw),14.036949,121.360786,Stormy,Robbery,Poverty,Medium,0,24,82
10/04/2021,2021,4:29,Wednesday,VI-D (Lakeside),14.088775,121.368174,Foggy,Drug-Related,Other,Low,0,9,48
12/08/2021,2021,2:06,Tuesday,Concepcion (Bunot),14.014539,121.344688,Stormy,Theft,Alcohol,Medium,1,30,43
12/07/2023,2023,6:06,Wednesday,Santa Maria,14.084349,121.293353,Foggy,Domestic Violence,Alcohol,High,1,5,62
22/04/2022,2022,18:50,Thursday,San Mateo (Imok),14.076078,121.287098,Sunny,Vandalism,Alcohol,Low,3,10,61
12/05/2023,2023,11:40,Friday,Santa Cruz (Putol),14.060869,121.327881,Stormy,Assault,Unemployment,High,1,8,21
07/03/2022,2022,5:47,Saturday,Santiago II (Bulaho),14.036007,121.348007,Cloudy,Harassment,Mental Health,Medium,3,19,44
23/09/2020,2020,14:08,Tuesday,Dolores,14.101782,121.329073,Sunny,Drug-Related,Opportunistic,Medium,3,6,62
06/07/2025,2025,6:27,Saturday,III-C (Labak/De Roma),14.024951,121.33208,Cloudy,Drug-Related,Alcohol,Medium,1,11,10
17/05/2025,2025,12:43,Monday,III-A (Hermanos Belen),14.053781,121.298874,Sunny,Fraud,Domestic Issue,Medium,3,12,95
10/11/2021,2021,11:33,Wednesday,San Juan (Putol),14.067278,121.276621,Sunny,Drug-Related,Poverty,Low,3,9,45
14/06/2021,2021,4:41,Tuesday,San Buenaventura (Palakpakin),14.028448,121.300025,Foggy,Harassment,Personal Dispute,Low,1,5,81
30/03/2021,2021,9:16,Wednesday,VII-E,14.042108,121.36846,Stormy,Harassment,Other,High,3,21,109
02/02/2024,2024,0:41,Wednesday,V-A,14.042814,121.319855,Rainy,Assault,Poverty,Low,1,24,34
24/05/2021,2021,12:32,Friday,Santa Filomena (Banlagin),14.027372,121.364848,Stormy,Theft,Alcohol,High,2,18,119
23/08/2020,2020,3:23,Tuesday,III-F (Balagtas),14.040111,121.334492,Rainy,Robbery,Domestic Issue,High,2,5,54
13/04/2020,2020,16:35,Friday,VII-B,14.039961,121.331025,Sunny,Robbery,Unemployment,Medium,1,17,117
15/05/2023,2023,1:47,Monday,Santa Elena,14.047341,121.271348,Stormy,Vandalism,Unemployment,Low,1,21,13
25/05/2023,2023,16:51,Tuesday,Santa Filomena (Banlagin),14.02527,121.349183,Rainy,Fraud,Drugs,Low,0,22,110
22/07/2024,2024,8:27,Monday,I-B (City Sub Riverside),14.051794,121.362061,Cloudy,Domestic Violence,Personal Dispute,Low,2,6,12
03/02/2020,2020,5:32,Friday,San Roque (Sambat),14.065719,121.279521,Stormy,Theft,Alcohol,Low,0,15,48
18/03/2021,2021,20:55,Saturday,II-D (Bulante),14.046994,121.315769,Sunny,Theft,Opportunistic,Medium,2,20,38
30/10/2024,2024,8:36,Friday,Santa Cruz (Putol),14.070371,121.306467,Cloudy,Vandalism,Opportunistic,Medium,3,20,22
22/05/2023,2023,20:15,Monday,San Isidro (Balagbag),14.020325,121.363469,Cloudy,Other,Personal Dispute,Low,1,14,46
20/02/2021,2021,0:52,Friday,V-C,14.027456,121.362843,Sunny,Assault,Mental Health,Low,3,26,28
